state,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4
AL,187220.2,188690.9,190223.3,190327.5,191242.8,191888.1,192446.5,193876.4,196920.4,198525,199752.5,202147.7,204412.1,205930.8,207561.9,210309.6,213580.1,215125.8,216690,218325.6,220503.8,239992,228757.7,225741.7,260411.8,237892.3,239063,242536.1
AK,42474.1,42605.6,42582.9,42557.8,41822.5,41716.9,41787.2,42023,42003.9,42202.2,42708.6,43073.7,43506.8,43730.3,44436.4,44737.2,44947.1,45149.9,45450,45628.5,45416,48729.7,45631.7,45943.8,50906.4,48424.8,48514.5,48915.6
AZ,267031.2,270117.2,271265.9,274847.8,277248.9,280824.1,284220.1,286047.5,291952.2,295172.3,300483.3,304011.9,310010.7,313092.9,318117.1,321708,328327.3,331518.5,335868.4,340381.5,345632.5,386818.9,375055.6,366327.6,412359.2,384807.8,388842.5,394433.1
AR,117047.3,118150.5,119449.8,120230.4,120694.3,121543.1,122023.1,123043.2,124745.6,125168.2,125748.9,127457.1,128744.9,129853.4,131484.2,133378.3,134301.9,134456.4,135673.5,136778.9,137821.2,151525.8,141731.5,141513,162977.7,150898.2,151980.2,153218.2
CA,2084189.7,2117632.1,2138781.8,2161117.7,2188444.1,2202876.8,2229957.3,2252552.9,2276491.7,2303072.8,2330550.7,2364462.5,2383590.8,2418519.2,2451370.7,2473807.1,2510292.8,2534354.5,2547609,2584683.7,2622319.5,2794362.3,2848748.9,2787817.3,3067989.7,2943750,2987612.2,2989470.5
CO,282504.1,284908.1,285414.5,286520.6,285325,287204.6,290981.8,295180.4,301513.9,306425.4,311847.7,318843.6,323754.4,328930.4,335103,340033.8,346279.4,347920.7,352683.1,354677.2,360275.8,382610.2,368037.4,370645.1,409559.1,393469.8,398784.9,402677.9
CT,240932.5,242413,243587.2,245725.7,247559.2,247816.1,247771.1,247963.1,249508.8,252507,253950.5,256516.6,260384.5,262561.2,266950.2,267156.5,270351.9,269829.9,269448.6,271500.8,273225.2,284947.4,280433.5,279843.3,301973.9,291489.2,293556.8,296802.7
DE,44586.8,45287.2,45273.3,45717.2,45637.7,46230.7,46708.8,47202,47855.7,48074.8,48922.2,49430.1,50311.7,50920.2,51760.7,52249.2,52188.1,52383.1,52624.2,52954.9,53915.5,57035.2,55273.7,55205,61506.3,57928.3,58275.3,59098.2
DC,49652.2,50278.7,50598.2,50820,52022.6,52522.2,52803.6,53389.4,53694.4,54090.7,54743.5,55284.3,55718.1,56199.8,57084.9,57288.7,56690.8,56965.2,57375.8,57929.5,58721,63402.3,62812.3,61888.9,66002.4,64490.5,64833.1,64311.7
FL,904536.5,916335.4,924420.1,934047.5,935793.3,946159.6,960983.4,973342.5,996671.6,1016646.7,1031423.4,1047782.7,1066354.4,1077687.5,1095763.8,1108948.8,1127159,1135181.7,1142137.1,1154719.4,1170131.3,1245820.8,1220732.1,1203299.5,1365691.6,1294619.7,1306515.4,1326918.3
GA,420780.9,425630.3,430118.4,433220.1,439144.5,440652.4,445079.2,451218.6,461151.3,465844.8,470641.3,479315.9,484369.6,489862.2,497724.8,500742.9,511547.8,516600.9,520118.6,524844.6,529359.8,578984.7,562327.5,547593.9,625644.2,585169.8,584884.4,592704.6
HI,68137.9,68846.9,69365.8,70085.6,70737.9,71280,71845.4,72423.3,73670.8,74209.9,74869.6,75076.5,75385.3,76021.3,76491.6,76837.5,77642.6,78149.6,78945,79327.3,79522.5,88054.7,81759.8,80772.3,90446.9,85363.5,86152.2,86252.8
ID,64984.2,65103.4,65820.7,65994.3,66885.7,67727.3,68491.6,68932.8,70159.7,71666.6,72568.4,73871,75275.3,76100.5,76934,78412.7,80323.8,81299.7,82365.7,83347.2,85208,92679.3,88187.4,90236.1,102636.1,94814.2,95603.6,97617
