State,Total,H,W,B,N,A,O
AL,4876250,208626,3194929,1291524,22740,65410,93021
AK,737068,51870,446897,22857,106271,44917,64256
AZ,7050299,2208663,3857007,297107,276396,226597,184529
AR,2999370,224130,2172453,456899,17652,44927,83309
CA,39283496,15327688,14605312,2169155,140831,5610931,1429579
CO,5610349,1208172,3818321,221526,30393,174660,157277
CT,3575074,574240,2392013,354120,5596,159989,89116
DE,957248,88364,596497,207402,2825,36656,25504
DC,692683,76191,253373,314774,1418,27188,19739
FL,20901636,5346684,11266347,3202687,41989,559988,483941
GA,10403847,992394,5485855,3244348,19382,410705,251163
HI,1422094,149118,312722,24377,2241,524609,409027
ID,1717750,215476,1407883,11316,19027,23061,40987
IL,12770631,2186387,7829850,1783708,15108,692370,263208
IN,6665703,461850,5271071,616545,12348,150840,153049
IA,3139508,188311,2690052,113560,9251,75326,63008
KS,2910652,345680,2208576,164509,19236,84850,87801
KY,4449052,162994,3761855,353997,8156,64764,97286
LA,4664362,239164,2735887,1492386,23892,80014,93019
ME,1335492,22100,1244531,17368,8017,14946,28530
MD,6018848,606482,3062363,1768596,12002,375951,193454
MA,6850553,809179,4903539,473181,9667,449793,205194
MI,9965265,507353,7477400,1358034,45569,310420,266489
MN,5563378,299556,4442126,349808,52405,266436,153047
MS,2984418,91202,1689927,1121516,13341,29466,38966
MO,6104910,254791,4849901,696379,23632,119481,160726
MT,1050649,40314,904550,4666,63738,8098,29283
NE,1914571,208271,1512111,89872,14417,45303,44597
NV,2972382,853041,1463237,259802,27070,237588,131644
NH,1348124,50493,1214927,18335,1816,35971,26582
NJ,8878503,1794736,4916380,1125541,9813,834073,197960
NM,2092454,1020817,782269,37911,182874,30341,38242
NY,19572320,3720983,10883812,2790504,46034,1633539,497448
NC,10264876,962665,6474688,2165301,112504,290525,259193
ND,756717,28317,638985,21577,38482,10876,18480
OH,11655397,443415,9197115,1425887,16946,256584,315450
OK,3932870,417906,2581231,280944,285402,84020,283367
OR,4129803,537217,3125842,75232,38050,178412,175050
PA,12791530,935216,9777163,1363043,14483,433115,268510
RI,1057231,163226,761432,60415,3402,35401,33355
SC,5020806,285458,3196421,1333876,14748,78102,112201
SD,870638,33024,713546,17191,73396,12511,20970
TN,6709356,364174,4951558,1114068,15553,116563,147440
TX,28260856,11116881,11856336,3328707,71081,1340554,547297
UT,3096848,434832,2425647,34571,28515,71000,102283
VT,624313,12038,579340,7901,1807,10393,12834
VA,8454463,792001,5227569,1588726,18092,536076,291999
WA,7404107,937579,5073945,270704,79694,625682,416503
WV,1817305,28368,1671546,65848,3593,14319,33631
WI,5790716,394392,4705599,364060,46936,160706,119023
WY,581024,57341,488437,5193,12547,4907,12599
